description,category,priority
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Mouse is not working.,Hardware,Low
The laptop screen is flickering and blue.,Hardware,Medium
The monitor is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
The CPU is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The CPU is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
Smoke is coming from the laptop unit.,Hardware,High
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the scanner unit.,Hardware,High
The monitor screen is flickering and blue.,Hardware,Medium
The server is broken and not turning on.,Hardware,High
Smoke is coming from the projector unit.,Hardware,High
The laptop screen is flickering and blue.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Mouse is not working.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
The projector screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Smoke is coming from the projector unit.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The server is broken and not turning on.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
The server is broken and not turning on.,Hardware,High
The projector screen is flickering and blue.,Hardware,Medium
The scanner is broken and not turning on.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The scanner is broken and not turning on.,Hardware,Medium
The laptop is broken and not turning on.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
The scanner screen is flickering and blue.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Smoke is coming from the laptop unit.,Hardware,High
The monitor screen is flickering and blue.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The CPU screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The CPU is broken and not turning on.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
Smoke is coming from the projector unit.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
The CPU is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the projector unit.,Hardware,High
The server is broken and not turning on.,Hardware,High
The projector screen is flickering and blue.,Hardware,Medium
The laptop is broken and not turning on.,Hardware,Medium
Mouse is not working.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
The projector is broken and not turning on.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
Smoke is coming from the monitor unit.,Hardware,High
Mouse is not working.,Hardware,Low
The projector is broken and not turning on.,Hardware,Medium
The server is broken and not turning on.,Hardware,High
The monitor is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the CPU unit.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The CPU is broken and not turning on.,Hardware,Medium
Mouse is not working.,Hardware,Low
Smoke is coming from the scanner unit.,Hardware,High
Mouse is not working.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
The scanner is broken and not turning on.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the server unit.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Mouse is not working.,Hardware,Low
Smoke is coming from the server unit.,Hardware,High
Smoke is coming from the laptop unit.,Hardware,High
The projector screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Mouse is not working.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Mouse is not working.,Hardware,Low
The projector is broken and not turning on.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
The scanner screen is flickering and blue.,Hardware,Medium
The monitor is broken and not turning on.,Hardware,Medium
Smoke is coming from the server unit.,Hardware,High
The projector screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The scanner screen is flickering and blue.,Hardware,Medium
The laptop screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
The laptop screen is flickering and blue.,Hardware,Medium
The monitor screen is flickering and blue.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
The server screen is flickering and blue.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The server fan is making a loud noise.,Hardware,High
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The projector screen is flickering and blue.,Hardware,Medium
Smoke is coming from the monitor unit.,Hardware,High
The server fan is making a loud noise.,Hardware,High
Smoke is coming from the server unit.,Hardware,High
The server screen is flickering and blue.,Hardware,High
Keyboard keys are stuck.,Hardware,Low
Mouse is not working.,Hardware,Low
Mouse is not working.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
The laptop is broken and not turning on.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The laptop is broken and not turning on.,Hardware,Medium
Mouse is not working.,Hardware,Low
Printer is jamming paper continuously.,Hardware,Medium
The server screen is flickering and blue.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
Mouse is not working.,Hardware,Low
Keyboard keys are stuck.,Hardware,Low
Mouse is not working.,Hardware,Low
The server fan is making a loud noise.,Hardware,High
The monitor screen is flickering and blue.,Hardware,Medium
Printer is jamming paper continuously.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
Keyboard keys are stuck.,Hardware,Low
Smoke is coming from the projector unit.,Hardware,High
Printer is jamming paper continuously.,Hardware,Medium
The CPU screen is flickering and blue.,Hardware,Medium
The scanner screen is flickering and blue.,Hardware,Medium
Mouse is not working.,Hardware,Low
Smoke is coming from the server unit.,Hardware,High
The scanner is broken and not turning on.,Hardware,Medium
Mouse is not working.,Hardware,Low
Smoke is coming from the server unit.,Hardware,High
Adobe Reader is not responding.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
I cannot install the Python update.,Software,Medium
The operating system is very slow.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I need a license key for Photoshop.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The Outlook keeps crashing when I open it.,Software,High
The operating system is very slow.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The Python keeps crashing when I open it.,Software,High
I need a license key for Excel.,Software,Medium
I cannot install the Outlook update.,Software,Medium
I need a license key for Excel.,Software,Medium
I need a license key for Outlook.,Software,Medium
I cannot install the Zoom update.,Software,Medium
The operating system is very slow.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I need a license key for Teams.,Software,Medium
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
The Teams keeps crashing when I open it.,Software,High
Microsoft Office is showing an error code.,Software,Medium
I cannot install the Python update.,Software,Medium
I need a license key for Outlook.,Software,Medium
The operating system is very slow.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
The Teams keeps crashing when I open it.,Software,High
Microsoft Office is showing an error code.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I cannot install the Zoom update.,Software,Medium
I need a license key for Python.,Software,Medium
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I need a license key for Teams.,Software,Medium
I need a license key for Teams.,Software,Medium
I cannot install the Outlook update.,Software,Medium
I need a license key for Photoshop.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
The Zoom keeps crashing when I open it.,Software,High
Microsoft Office is showing an error code.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
The Python keeps crashing when I open it.,Software,High
I need a license key for Teams.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
The operating system is very slow.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
I need a license key for Python.,Software,Medium
The operating system is very slow.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
The operating system is very slow.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The Python keeps crashing when I open it.,Software,High
Adobe Reader is not responding.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I cannot install the Teams update.,Software,Medium
I need a license key for Outlook.,Software,Medium
I need a license key for Zoom.,Software,Medium
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
The Outlook keeps crashing when I open it.,Software,High
The Photoshop keeps crashing when I open it.,Software,High
The Photoshop keeps crashing when I open it.,Software,High
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I need a license key for Python.,Software,Medium
The Zoom keeps crashing when I open it.,Software,High
I need a license key for Python.,Software,Medium
The operating system is very slow.,Software,Medium
I cannot install the Photoshop update.,Software,Medium
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I cannot install the Python update.,Software,Medium
The operating system is very slow.,Software,Medium
The Excel keeps crashing when I open it.,Software,High
The Photoshop keeps crashing when I open it.,Software,High
The operating system is very slow.,Software,Medium
The operating system is very slow.,Software,Medium
I need a license key for Teams.,Software,Medium
I need a license key for Outlook.,Software,Medium
The Photoshop keeps crashing when I open it.,Software,High
Microsoft Office is showing an error code.,Software,Medium
I cannot install the Python update.,Software,Medium
I need a license key for Teams.,Software,Medium
The Outlook keeps crashing when I open it.,Software,High
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
The Excel keeps crashing when I open it.,Software,High
I cannot install the Outlook update.,Software,Medium
The operating system is very slow.,Software,Medium
I cannot install the Excel update.,Software,Medium
I cannot install the Outlook update.,Software,Medium
I need a license key for Excel.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
The operating system is very slow.,Software,Medium
I need a license key for Photoshop.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I need a license key for Python.,Software,Medium
The Photoshop keeps crashing when I open it.,Software,High
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
The operating system is very slow.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I cannot install the Excel update.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I cannot install the Python update.,Software,Medium
The Teams keeps crashing when I open it.,Software,High
The Python keeps crashing when I open it.,Software,High
The Outlook keeps crashing when I open it.,Software,High
I need a license key for Outlook.,Software,Medium
I need a license key for Python.,Software,Medium
The Photoshop keeps crashing when I open it.,Software,High
The operating system is very slow.,Software,Medium
I need a license key for Python.,Software,Medium
The operating system is very slow.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I cannot install the Excel update.,Software,Medium
I cannot install the Outlook update.,Software,Medium
Adobe Reader is not responding.,Software,Medium
The operating system is very slow.,Software,Medium
I need a license key for Zoom.,Software,Medium
I cannot install the Outlook update.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
I need a license key for Python.,Software,Medium
I cannot install the Outlook update.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
The Outlook keeps crashing when I open it.,Software,High
The Excel keeps crashing when I open it.,Software,High
Adobe Reader is not responding.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
The operating system is very slow.,Software,Medium
The Excel keeps crashing when I open it.,Software,High
I cannot install the Zoom update.,Software,Medium
I cannot install the Python update.,Software,Medium
Microsoft Office is showing an error code.,Software,Medium
Adobe Reader is not responding.,Software,Medium
I need a license key for Python.,Software,Medium
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
Internet speed is very slow today.,Network,Medium
Internet speed is very slow today.,Network,Medium
Internet speed is very slow today.,Network,Medium
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
Internet speed is very slow today.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
Internet speed is very slow today.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
Internet speed is very slow today.,Network,Medium
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
VPN connection keeps dropping.,Network,High
VPN connection keeps dropping.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I cannot access the company portal page.,Network,High
VPN connection keeps dropping.,Network,High
VPN connection keeps dropping.,Network,High
VPN connection keeps dropping.,Network,High
I cannot access the company portal page.,Network,High
I cannot access the company portal page.,Network,High
Internet speed is very slow today.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
VPN connection keeps dropping.,Network,High
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
LAN cable seems to be broken.,Network,Medium
Internet speed is very slow today.,Network,Medium
Internet speed is very slow today.,Network,Medium
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
VPN connection keeps dropping.,Network,High
LAN cable seems to be broken.,Network,Medium
I cannot access the company portal page.,Network,High
LAN cable seems to be broken.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I cannot access the company portal page.,Network,High
The Wifi is not connecting in the meeting room.,Network,Medium
The Wifi is not connecting in the meeting room.,Network,Medium
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
My account is locked out.,Account,High
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
Need access to the shared drive folder.,Account,Low
I forgot my password and need a reset.,Account,Low
My account is locked out.,Account,High
My account is locked out.,Account,High
I forgot my password and need a reset.,Account,Low
I forgot my password and need a reset.,Account,Low
Need access to the shared drive folder.,Account,Low
Need access to the shared drive folder.,Account,Low
I cannot login to my email.,Account,Low
I forgot my password and need a reset.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
My account is locked out.,Account,High
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
My account is locked out.,Account,High
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
I forgot my password and need a reset.,Account,Low
My account is locked out.,Account,High
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
My account is locked out.,Account,High
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
Need access to the shared drive folder.,Account,Low
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
I cannot login to my email.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Need access to the shared drive folder.,Account,Low
Need access to the shared drive folder.,Account,Low
I cannot login to my email.,Account,Low
Need access to the shared drive folder.,Account,Low
I forgot my password and need a reset.,Account,Low
Need access to the shared drive folder.,Account,Low
I forgot my password and need a reset.,Account,Low
Need access to the shared drive folder.,Account,Low
I cannot login to my email.,Account,Low
I cannot login to my email.,Account,Low
I forgot my password and need a reset.,Account,Low
I cannot login to my email.,Account,Low
My account is locked out.,Account,High
Two-factor authentication is failing.,Account,Low
Need access to the shared drive folder.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
Two-factor authentication is failing.,Account,Low
I cannot login to my email.,Account,Low
I forgot my password and need a reset.,Account,Low
Need access to the shared drive folder.,Account,Low
I forgot my password and need a reset.,Account,Low
I forgot my password and need a reset.,Account,Low
My account is locked out.,Account,High
I forgot my password and need a reset.,Account,Low
I cannot login to my email.,Account,Low
Need access to the shared drive folder.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
Need access to the shared drive folder.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
I forgot my password and need a reset.,Account,Low
Two-factor authentication is failing.,Account,Low
My account is locked out.,Account,High
I cannot login to my email.,Account,Low
Need access to the shared drive folder.,Account,Low
Need access to the shared drive folder.,Account,Low
I cannot login to my email.,Account,Low
I cannot login to my email.,Account,Low
